Year,State,"No. of Private Hospitals, Nursing and Maternity Homes"
2012,Johor,37
2012,Kedah,10
2012,Kelantan,5
2012,Melaka,4
2012,Negeri Sembilan,10
2012,Pahang,10
2012,Perak,16
2012,Perlis,0
2012,Pulau Pinang,26
2012,Sabah,5
2012,Sarawak,14
2012,Selangor,67
2012,Terengganu,3
2012,W.P. Kuala Lumpur,44
2012,W.P. Labuan,0
2012,W.P. Putrajaya,0
2013,Johor,37
2013,Kedah,10
2013,Kelantan,5
2013,Melaka,4
2013,Negeri Sembilan,9
2013,Pahang,10
2013,Perak,16
2013,Perlis,0
2013,Pulau Pinang,26
2013,Sabah,5
2013,Sarawak,16
2013,Selangor,67
2013,Terengganu,3
2013,W.P. Kuala Lumpur,44
2013,W.P. Labuan,0
2013,W.P. Putrajaya,0
2014,Johor,32
2014,Kedah,7
2014,Kelantan,5
2014,Melaka,4
2014,Negeri Sembilan,8
2014,Pahang,11
2014,Perak,19
2014,Perlis,0
2014,Pulau Pinang,22
2014,Sabah,5
2014,Sarawak,13
2014,Selangor,55
2014,Terengganu,3
2014,W.P. Kuala Lumpur,39
2014,W.P. Labuan,0
2014,W.P. Putrajaya,0
2015,Johor,33
2015,Kedah,5
2015,Kelantan,1
2015,Melaka,5
2015,Negeri Sembilan,8
2015,Pahang,9
2015,Perak,18
2015,Perlis,0
2015,Pulau Pinang,18
2015,Sabah,7
2015,Sarawak,14
2015,Selangor,57
2015,Terengganu,3
2015,W.P. Kuala Lumpur,38
2015,W.P. Labuan,0
2015,W.P. Putrajaya,0
2016,Johor,32
2016,Kedah,9
2016,Kelantan,3
2016,Melaka,5
2016,Negeri Sembilan,4
2016,Pahang,7
2016,Perak,16
2016,Perlis,0
2016,Pulau Pinang,20
2016,Sabah,4
2016,Sarawak,15
2016,Selangor,56
2016,Terengganu,4
2016,W.P. Kuala Lumpur,41
2016,W.P. Labuan,0
2016,W.P. Putrajaya,0
2017,Johor,33
2017,Kedah,10
2017,Kelantan,5
2017,Melaka,5
2017,Negeri Sembilan,7
2017,Pahang,8
2017,Perak,19
2017,Perlis,0
2017,Pulau Pinang,21
2017,Sabah,7
2017,Sarawak,16
2017,Selangor,62
2017,Terengganu,4
2017,W.P. Kuala Lumpur,43
2017,W.P. Labuan,0
2017,W.P. Putrajaya,0
2018,Johor,33
2018,Kedah,10
2018,Kelantan,5
2018,Melaka,5
2018,Negeri Sembilan,7
2018,Pahang,8
2018,Perak,19
2018,Perlis,0
2018,Pulau Pinang,21
2018,Sabah,7
2018,Sarawak,16
2018,Selangor,62
2018,Terengganu,4
2018,W.P. Kuala Lumpur,43
2018,W.P. Labuan,0
2018,W.P. Putrajaya,0
2019,Johor,34
2019,Kedah,10
2019,Kelantan,6
2019,Melaka,5
2019,Negeri Sembilan,9
2019,Pahang,8
2019,Perak,18
2019,Perlis,1
2019,Pulau Pinang,20
2019,Sabah,7
2019,Sarawak,19
2019,Selangor,63
2019,Terengganu,4
2019,W.P. Kuala Lumpur,46
2019,W.P. Labuan,0
2019,W.P. Putrajaya,0
2020,Johor,31
2020,Kedah,8
2020,Kelantan,5
2020,Melaka,4
2020,Negeri Sembilan,9
2020,Pahang,6
2020,Perak,17
2020,Perlis,1
2020,Pulau Pinang,17
2020,Sabah,9
2020,Sarawak,13
2020,Selangor,60
2020,Terengganu,4
2020,W.P. Kuala Lumpur,35
2020,W.P. Labuan,0
2020,W.P. Putrajaya,0
2021,Johor,37
2021,Kedah,9
2021,Kelantan,5
2021,Melaka,5
2021,Negeri Sembilan,10
2021,Pahang,8
2021,Perak,21
2021,Perlis,1
2021,Pulau Pinang,18
2021,Sabah,9
2021,Sarawak,18
2021,Selangor,67
2021,Terengganu,4
2021,W.P. Kuala Lumpur,42
2021,W.P. Labuan,0
2021,W.P. Putrajaya,2
