State,Year,Cases
Perlis,1999,46
Perlis,2000,29
Perlis,2001,157
Perlis,2002,179
Perlis,2003,148
Perlis,2004,398
Perlis,2005,324
Perlis,2006,193
Perlis,2007,311
Perlis,2008,184
Perlis,2009,191
Perlis,2010,215
Perlis,2011,110
Perlis,2012,172
Perlis,2013,226
Perlis,2014,317
Perlis,2015,258
Perlis,2016,183
Perlis,2017,175
Perlis,2018,369
Perlis,2019,288
Kedah,1999,892
Kedah,2000,471
Kedah,2001,590
Kedah,2002,751
Kedah,2003,1278
Kedah,2004,1742
Kedah,2005,1862
Kedah,2006,1907
Kedah,2007,2584
Kedah,2008,1678
Kedah,2009,750
Kedah,2010,782
Kedah,2011,514
Kedah,2012,817
Kedah,2013,813
Kedah,2014,1014
Kedah,2015,1000
Kedah,2016,994
Kedah,2017,1430
Kedah,2018,2190
Kedah,2019,1587
Pulau Pinang,1999,585
Pulau Pinang,2000,160
Pulau Pinang,2001,2288
Pulau Pinang,2002,941
Pulau Pinang,2003,746
Pulau Pinang,2004,1767
Pulau Pinang,2005,3527
Pulau Pinang,2006,2653
Pulau Pinang,2007,3106
Pulau Pinang,2008,2324
Pulau Pinang,2009,2444
Pulau Pinang,2010,1834
Pulau Pinang,2011,1579
Pulau Pinang,2012,791
Pulau Pinang,2013,1053
Pulau Pinang,2014,3141
Pulau Pinang,2015,5830
Pulau Pinang,2016,2576
Pulau Pinang,2017,2681
Pulau Pinang,2018,6071
Pulau Pinang,2019,4119
Perak,1999,1047
Perak,2000,387
Perak,2001,1391
Perak,2002,3278
Perak,2003,4418
Perak,2004,3108
Perak,2005,3082
Perak,2006,2007
Perak,2007,2889
Perak,2008,4219
Perak,2009,2734
Perak,2010,2288
Perak,2011,1411
Perak,2012,1716
Perak,2013,2519
Perak,2014,7525
Perak,2015,9466
Perak,2016,3777
Perak,2017,5411
Perak,2018,2736
Perak,2019,3226
Selangor,1999,1956
Selangor,2000,1439
Selangor,2001,3828
Selangor,2002,9385
Selangor,2003,6769
Selangor,2004,9189
Selangor,2005,12705
Selangor,2006,12264
Selangor,2007,15891
Selangor,2008,21262
Selangor,2009,18676
Selangor,2010,16367
Selangor,2011,7758
Selangor,2012,9113
Selangor,2013,23852
Selangor,2014,54290
Selangor,2015,63198
Selangor,2016,51652
Selangor,2017,45290
Selangor,2018,45349
Selangor,2019,72543
W.P. Kuala Lumpur,1999,1329
W.P. Kuala Lumpur,2000,494
W.P. Kuala Lumpur,2001,2069
W.P. Kuala Lumpur,2002,6723
W.P. Kuala Lumpur,2003,5629
W.P. Kuala Lumpur,2004,6288
W.P. Kuala Lumpur,2005,5680
W.P. Kuala Lumpur,2006,7804
W.P. Kuala Lumpur,2007,7439
W.P. Kuala Lumpur,2008,5446
W.P. Kuala Lumpur,2009,3746
W.P. Kuala Lumpur,2010,4205
